num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2025S014128;06/02/2025;14:55:00;CALL. PUERTO DE BEJAR / CALL. PUERTO DE LA CRUZ VERDE;12;2;ARGANZUELA;Colisión frontal;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441634;4471025;N;
2025S014624;07/02/2025;13:15:00;CALL. HORTALEZA / CALL. MEJIA LEQUERICA;17;1;CENTRO;Atropello a persona;LLuvia intensa;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;440853;4475259;N;
2025S014624;07/02/2025;13:15:00;CALL. HORTALEZA / CALL. MEJIA LEQUERICA;17;1;CENTRO;Atropello a persona;LLuvia intensa;Bicicleta;Peatón;Más de 74 años;Hombre;2;Ingreso inferior o igual a 24 horas;440853;4475259;N;
2025S014741;07/02/2025;15:04:00;CALL. FROMISTA / CTRA. FUENCARRAL A HORTALEZA;1;8;FUENCARRAL-EL PARDO;Caída;Lluvia débil;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;442344;4484412;N;
2025S014852;07/02/2025;21:45:00;CALL. TOLEDO, 40;40;1;CENTRO;Caída;LLuvia intensa;Bicicleta;Conductor;De 30 a 34 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;439957;4473783;N;
2025S014887;07/02/2025;23:20:00;CALL. SAGASTA, 6;6;1;CENTRO;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440519;4475581;N;
2025S014902;08/02/2025;1:15:00;CALL. SERRANO, 93;93;4;SALAMANCA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 50 a 54 años;Hombre;2;Ingreso inferior o igual a 24 horas;441797;4476518;N;
2025S015144;08/02/2025;8:05:00;PLAZA. LAVAPIES / CALL. TRIBULETE;1;1;CENTRO;Colisión lateral;Nublado;Bicicleta;Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440476;4473387;N;
2025S015181;08/02/2025;14:25:00;AVDA. LOS ROSALES, 137;137;17;VILLAVERDE;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442693;4466647;N;
2025S015215;08/02/2025;18:25:00;CALL. ALCALA / CALL. PEDRO MUÑOZ SECA;61;4;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 45 a 49 años;Mujer;1;Atención en urgencias sin posterior ingreso;441374;4474578;N;
2025S015514;09/02/2025;20:20:00;CALL. BRAVO MURILLO / CALL. MARQUES DE VIANA;193;6;TETUÁN;Caída;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;440790;4479132;N;
2025S015697;09/02/2025;21:15:00;CALL. EMBAJADORES, 120;120;2;ARGANZUELA;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440705;4472372;N;
2025S015613;10/02/2025;9:35:00;CALL. VALMOJADO, 53;53;10;LATINA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;435722;4472040;N;
2025S015741;10/02/2025;15:35:00;PASEO. ESPERANZA / CALL. MAJUELO;4;2;ARGANZUELA;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 15 a 17 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440080;4472764;N;
2025S016080;11/02/2025;9:25:00;CALL. ALCALDE SAINZ DE BARANDA, 92;92;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443891;4474726;N;
2025S016150;11/02/2025;13:30:00;CALL. BRAVO MURILLO, 46;46;7;CHAMBERÍ;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;440289;4477094;N;
2025S016390;11/02/2025;19:20:00;CALL. PRECIADOS, 37;37;1;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439968;4474589;N;
2025S016577;11/02/2025;13:30:00;PQUE. CASA DE CAMPO / PNTE. CASTILLA;0;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;437064;4477496;N;
2025S016594;12/02/2025;8:45:00;CALL. ARCOS DE JALON / CALL. POBLADURA DEL VALLE;59;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;448061;4475411;N;
2025S016821;12/02/2025;18:55:00;CALL. VIA DE DUBLIN / GTA. HAMBURGO;11;21;BARAJAS;Alcance;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448143;4479566;N;
2025S017041;13/02/2025;5:45:00;AVDA. PORTUGAL / PASEO. PUERTA DEL ANGEL;81;10;LATINA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;1;Atención en urgencias sin posterior ingreso;438073;4474033;N;
2025S017396;13/02/2025;18:30:00;CALL. SAN PATRICIO, 2;2;11;CARABANCHEL;Colisión fronto-lateral;;Bicicleta;Conductor;De 21 a 24 años;Hombre;;;438424;4471516;N;
